article,name,subject_name,model,color,components,dimensions,,,,,,,package_type,weight_without_package,weight_with_package,form,material,features,declaration_of_conformity,additional_info
,,,,,,product,,,,package,,,,,,,,,,
,,,,,,length,width,height,diameter,length,width,height,,,,,,,,
154757030,Принтик,Принтеры портативные,C9,голубой,"Принтик, рулон термобумаги внутри принтика, USB-кабель, инструкция",8 см,3.5 см,11 см,,9 см,5 см,12 см,коробка,0.235 кг,0.28 кг,прямоугольный,пластик,"Не требует чернил, Термопечать, Подключение по Bluetooth, Работает с Android и iOS, Приложение ""ПРИНТИКИ"", Аккумулятор 1200 мАч, До 5 часов работы, Печать 30-40 этикеток",Есть,"max_print_resolution: 200x200 dpi, print_quality: 384 dpi, supported_paper_types: термобумага, самоклеящаяся бумага, прозрачная бумага, print_technology: термопечать, print_color: черно-белый, print_format: A8, connection_interface: Bluetooth, software: Приложение ""ПРИНТИКИ"", battery: Есть, battery_life: до 5 часов, print_capacity: 30-40 этикеток, power_supply: USB, connector_type: Type-C, Дополнительная информация: Принтик для печати этикеток и наклеек."
170694344,Принтик,Принтеры портативные,C9,розовый,"Принтик, один рулон термобумаги, USB-кабель, инструкция",8 см,3.5 см,11 см,,9 см,5 см,12 см,коробка,0.235 кг,0.28 кг,прямоугольный,пластик,"Не требует чернил, Термопечать, Подключение по Bluetooth, Работает с Android и iOS, Приложение ""ПРИНТИКИ"", Аккумулятор 1200 мАч, До 5 часов работы, Печать 30-40 этикеток",Есть,"max_print_resolution: 200x200 dpi, print_quality: 384 dpi, supported_paper_types: термобумага, самоклеящаяся бумага, прозрачная бумага, print_technology: термопечать, print_color: черно-белый, print_format: A8, connection_interface: Bluetooth, software: Приложение ""ПРИНТИКИ"", battery: Есть, battery_life: до 5 часов, print_capacity: 30-40 этикеток, power_supply: USB, connector_type: Type-C, Дополнительная информация: Принтик для печати этикеток и наклеек."
170707924,Принтик,Принтеры портативные,C9,голубой,"Принтик, рулон термобумаги внутри принтика, USB-кабель, инструкция, цветная бумага, самоклеящаяся бумага, фломастеры",8 см,3.5 см,11 см,,13 см,8 см,13 см,коробка,0.3 кг,0.45 кг,прямоугольный,пластик,"Не требует чернил, Термопечать, Подключение по Bluetooth, Работает с Android и iOS, Приложение ""ПРИНТИКИ"", Аккумулятор 1200 мАч, До 5 часов работы, Печать 30-40 этикеток",Есть,"max_print_resolution: 200x200 dpi, print_quality: 384 dpi, supported_paper_types: термобумага, самоклеящаяся бумага, прозрачная бумага, print_technology: термопечать, print_color: черно-белый, print_format: A8, connection_interface: Bluetooth, software: Приложение ""ПРИНТИКИ"", battery: Есть, battery_life: до 5 часов, print_capacity: 30-40 этикеток, power_supply: USB, connector_type: Type-C, Дополнительная информация: Принтик для печати этикеток и наклеек."
170707926,Принтик,Принтеры портативные,C9,розовый,"Принтик, один рулон термобумаги внутри, USB-кабель, инструкция, цветная бумага 3 шт, самоклеящаяся бумага 5 шт, термобумага 5 шт, фломастеры разного цвета 6 шт",8 см,3.5 см,11 см,,13 см,8 см,13 см,коробка,0.3 кг,0.45 кг,прямоугольный,пластик,"Не требует чернил, Термопечать, Подключение по Bluetooth, Работает с Android и iOS, Приложение ""ПРИНТИКИ"", Аккумулятор 1200 мАч, До 5 часов работы, Печать 30-40 этикеток",Есть,"max_print_resolution: 200x200 dpi, print_quality: 384 dpi, supported_paper_types: термобумага, самоклеящаяся бумага, прозрачная бумага, print_technology: термопечать, print_color: черно-белый, print_format: A8, connection_interface: Bluetooth, software: Приложение ""ПРИНТИКИ"", battery: Есть, battery_life: до 5 часов, print_capacity: 30-40 этикеток, power_supply: USB, connector_type: Type-C, Дополнительная информация: Принтик для печати этикеток и наклеек."
175679373,Принтик,Принтеры портативные,С23,белый,"Принтик, один рулон термобумаги внутри, USB-кабель, инструкция, 5 рулонов термобумаги",8.5 см,3.5 см,9.5 см,,13 см,6 см,13 см,коробка,0.3 кг,0.5 кг,круглая,пластик,"Не требует чернил, Термопечать, Подключение по Bluetooth, Работает с Android и iOS, Приложение ""ПРИНТИКИ"", Аккумулятор 1200 мАч, До 5 часов работы, Печать 30-40 этикеток, 7 режимов подсветки, Можно использовать как ночник",Есть,"max_print_resolution: 200x200 dpi, print_quality: 384 dpi, supported_paper_types: термобумага, самоклеящаяся бумага, прозрачная бумага, print_technology: термопечать, print_color: черно-белый, print_format: A8, connection_interface: Bluetooth, software: Приложение ""ПРИНТИКИ"", battery: Есть, battery_life: до 5 часов, print_capacity: 30-40 этикеток, power_supply: USB, connector_type: Type-C, Дополнительная информация: Принтик для печати этикеток и наклеек."
177772100,Принтик,Принтеры портативные,С15,белый,"Принтик, один рулон термобумаги внутри, USB-кабель, инструкция, 5 рулонов термобумаги, 5 рулонов самоклеящейся бумаги",8 см,3.5 см,8 см,,13 см,5 см,15 см,коробка,0.3 кг,0.5 кг,квадратная,пластик,"Не требует чернил, Термопечать, Подключение по Bluetooth, Работает с Android и iOS, Приложение ""ПРИНТИКИ"", Аккумулятор 1200 мАч, До 5 часов работы, Печать 30-40 этикеток",Есть,"max_print_resolution: 200x200 dpi, print_quality: 384 dpi, supported_paper_types: термобумага, самоклеящаяся бумага, прозрачная бумага, print_technology: термопечать, print_color: черно-белый, print_format: A8, connection_interface: Bluetooth, software: Приложение ""ПРИНТИКИ"", battery: Есть, battery_life: до 5 часов, print_capacity: 30-40 этикеток, power_supply: USB, connector_type: Type-C, Дополнительная информация: Принтик для печати этикеток и наклеек."
202337604,Принтик,Принтеры портативные,C25,розовый,"Принтик, один рулон термобумаги внутри, USB-кабель, инструкция, цветная бумага 3 шт, самоклеящаяся бумага 5 шт, термобумага 5 шт, фломастеры разного цвета 5 шт",8.5 см,5 см,9.5 см,,16 см,7 см,16 см,коробка,0.45 кг,0.7 кг,квадратная с закругленными углами,пластик,"Не требует чернил, Термопечать, Подключение по Bluetooth, Работает с Android и iOS, Приложение ""ПРИНТИКИ"", Аккумулятор 1200 мАч, До 5 часов работы, Печать 30-40 этикеток",Есть,Принтик для печати этикеток и наклеек.
218842456,Принтик,Принтеры портативные,C19,белый,"Принтик, один рулон термобумаги внутри, USB-кабель, инструкция, цветная бумага 3 шт, самоклеящаяся бумага 5 шт, термобумага 5 шт, фломастеры разного цвета 6 шт",8 см,3.5 см,8 см,,13 см,8 см,13 см,коробка,0.45 кг,0.7 кг,квадратная,пластик,"Не требует чернил, Термопечать, Подключение по Bluetooth, Работает с Android и iOS, Приложение ""ПРИНТИКИ"", Аккумулятор 1200 мАч, До 5 часов работы, Печать 30-40 этикеток",Есть,"max_print_resolution: 200x200 dpi, print_quality: 384 dpi, supported_paper_types: термобумага, самоклеящаяся бумага, прозрачная бумага, print_technology: термопечать, print_color: черно-белый, print_format: A8, connection_interface: Bluetooth, software: Приложение ""ПРИНТИКИ"", battery: Есть, battery_life: до 5 часов, print_capacity: 30-40 этикеток, power_supply: USB, connector_type: Type-C, Дополнительная информация: Принтик для печати этикеток и наклеек."
202339623,Принтик,Принтеры портативные,C25,голубой,"Принтик, один рулон термобумаги внутри, USB-кабель, инструкция, цветная бумага 3 шт, самоклеящаяся бумага 5 шт, термобумага 5 шт, фломастеры разного цвета 5 шт",8.5 см,5 см,9.5 см,,16 см,7 см,16 см,коробка,0.45 кг,0.7 кг,квадратная с закругленными углами,пластик,"Не требует чернил, Термопечать, Подключение по Bluetooth, Работает с Android и iOS, Приложение ""ПРИНТИКИ"", Аккумулятор 1200 мАч, До 5 часов работы, Печать 30-40 этикеток",Есть,Принтик для печати этикеток и наклеек.
